"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","LeBron James",11000,"Den@Cle 07:00PM ET",49.031
"PF","Anthony Davis",10900,"NO@Por 10:00PM ET",55.625
"PG","Chris Paul",10300,"Chi@LAC 10:30PM ET",46.938
"SG","James Harden",10300,"Hou@Mem 08:00PM ET",49.350
"PF","Blake Griffin",9700,"Chi@LAC 10:30PM ET",38.563
"PF","LaMarcus Aldridge",9600,"NO@Por 10:00PM ET",38.806
"C","Dwight Howard",9000,"Hou@Mem 08:00PM ET",41.944
"PF","Kevin Love",8800,"Den@Cle 07:00PM ET",37.063
"C","Chris Bosh",8500,"Mia@Bkn 07:30PM ET",40.275
"PG","Damian Lillard",8500,"NO@Por 10:00PM ET",39.600
"PF","Pau Gasol",8400,"Chi@LAC 10:30PM ET",40.350
"PG","Rajon Rondo",8400,"Pho@Bos 07:30PM ET",42.250
"PF","Tim Duncan",8300,"Phi@SA 08:30PM ET",37.625
"C","Nikola Vucevic",8100,"Orl@Det 07:30PM ET",40.341
"C","Al Jefferson",8000,"Dal@Cha 07:00PM ET",35.850
"C","Marc Gasol",7900,"Hou@Mem 08:00PM ET",37.425
"PG","Kyrie Irving",7900,"Den@Cle 07:00PM ET",37.250
"PF","Zach Randolph",7700,"Hou@Mem 08:00PM ET",36.000
"C","DeAndre Jordan",7600,"Chi@LAC 10:30PM ET",33.844
"SF","Josh Smith",7500,"Orl@Det 07:30PM ET",33.875
"SG","Jimmy Butler",7500,"Chi@LAC 10:30PM ET",38.188
"PG","Ty Lawson",7400,"Den@Cle 07:00PM ET",32.656
"PG","Jrue Holiday",7400,"NO@Por 10:00PM ET",33.281
"PF","Dirk Nowitzki",7300,"Dal@Cha 07:00PM ET",32.700
"SG","Dwyane Wade",7300,"Mia@Bkn 07:30PM ET",36.688
"PG","Deron Williams",7200,"Mia@Bkn 07:30PM ET",33.750
"PG","Kemba Walker",7200,"Dal@Cha 07:00PM ET",31.100
"SG","Tyreke Evans",7200,"NO@Por 10:00PM ET",37.938
"PF","Greg Monroe",7200,"Orl@Det 07:30PM ET",35.688
"SF","Kawhi Leonard",7200,"Phi@SA 08:30PM ET",31.125
"C","Joakim Noah",7100,"Chi@LAC 10:30PM ET",29.875
"PG","Brandon Jennings",7100,"Orl@Det 07:30PM ET",31.525
"PF","Jared Sullinger",7100,"Pho@Bos 07:30PM ET",33.531
"PG","Mike Conley",7000,"Hou@Mem 08:00PM ET",31.100
"SF","Nicolas Batum",7000,"NO@Por 10:00PM ET",30.500
"SF","Tobias Harris",7000,"Orl@Det 07:30PM ET",33.614
"SG","Monta Ellis",6900,"Dal@Cha 07:00PM ET",30.600
"PG","Tony Parker",6800,"Phi@SA 08:30PM ET",27.472
"PG","Michael Carter-Williams",6800,"Phi@SA 08:30PM ET",31.625
"C","Brook Lopez",6700,"Mia@Bkn 07:30PM ET",28.321
"PG","Derrick Rose",6700,"Chi@LAC 10:30PM ET",30.600
"C","Andre Drummond",6700,"Orl@Det 07:30PM ET",26.800
"SG","Joe Johnson",6600,"Mia@Bkn 07:30PM ET",34.083
"SG","Lance Stephenson",6600,"Dal@Cha 07:00PM ET",30.325
"SF","Chandler Parsons",6400,"Dal@Cha 07:00PM ET",26.000
"SG","Eric Bledsoe",6400,"Pho@Bos 07:30PM ET",29.950
"C","Kelly Olynyk",6400,"Pho@Bos 07:30PM ET",28.750
"C","Tyson Chandler",6300,"Dal@Cha 07:00PM ET",30.050
"SF","Trevor Ariza",6300,"Hou@Mem 08:00PM ET",29.725
"PF","Terrence Jones",6300,"Hou@Mem 08:00PM ET",31.250
"SF","Luol Deng",6200,"Mia@Bkn 07:30PM ET",25.525
"SF","Jeff Green",6200,"Pho@Bos 07:30PM ET",31.500
"PG","Tony Wroten",6200,"Phi@SA 08:30PM ET",39.056
"PF","Markieff Morris",6100,"Pho@Bos 07:30PM ET",27.825
"SG","Victor Oladipo",6100,"Orl@Det 07:30PM ET",28.750
"PF","Kenneth Faried",6000,"Den@Cle 07:00PM ET",26.250
"SG","Wesley Matthews",5900,"NO@Por 10:00PM ET",28.450
"C","Robin Lopez",5800,"NO@Por 10:00PM ET",26.300
"PG","Goran Dragic",5800,"Pho@Bos 07:30PM ET",24.675
"PG","Isaiah Thomas",5500,"Pho@Bos 07:30PM ET",27.250
"PF","Ryan Anderson",5400,"NO@Por 10:00PM ET",27.094
"C","Omer Asik",5400,"NO@Por 10:00PM ET",27.188
"PG","Mario Chalmers",5300,"Mia@Bkn 07:30PM ET",24.125
"C","Henry Sims",5300,"Phi@SA 08:30PM ET",20.000
"SG","Evan Fournier",5300,"Orl@Det 07:30PM ET",25.568
"SG","Jamal Crawford",5200,"Chi@LAC 10:30PM ET",26.000
"PF","Channing Frye",5200,"Orl@Det 07:30PM ET",22.850
"SG","Manu Ginobili",5000,"Phi@SA 08:30PM ET",25.281
"C","Anderson Varejao",5000,"Den@Cle 07:00PM ET",22.688
"SG","Courtney Lee",5000,"Hou@Mem 08:00PM ET",26.156
"C","Tiago Splitter",4800,"Phi@SA 08:30PM ET",14.500
"PF","Kevin Garnett",4700,"Mia@Bkn 07:30PM ET",23.056
"SG","J.J. Redick",4700,"Chi@LAC 10:30PM ET",19.781
"SF","Wilson Chandler",4700,"Den@Cle 07:00PM ET",21.194
"SG","Avery Bradley",4700,"Pho@Bos 07:30PM ET",23.063
"SG","Danny Green",4600,"Phi@SA 08:30PM ET",19.639
"PF","Taj Gibson",4600,"Chi@LAC 10:30PM ET",24.778
"SG","Eric Gordon",4600,"NO@Por 10:00PM ET",16.906
"C","Miles Plumlee",4600,"Pho@Bos 07:30PM ET",19.825
"C","Timofey Mozgov",4600,"Den@Cle 07:00PM ET",18.944
"SG","Gerald Green",4500,"Pho@Bos 07:30PM ET",22.100
"PF","Tristan Thompson",4500,"Den@Cle 07:00PM ET",19.938
"C","Chris Kaman",4400,"NO@Por 10:00PM ET",21.800
"SF","Mike Dunleavy",4400,"Chi@LAC 10:30PM ET",22.100
"SG","Arron Afflalo",4400,"Den@Cle 07:00PM ET",19.333
"SF","Shawne Williams",4400,"Mia@Bkn 07:30PM ET",23.950
"PG","Patrick Beverley",4400,"Hou@Mem 08:00PM ET",22.063
"PF","Brandon Davies",4400,"Phi@SA 08:30PM ET",18.361
"PF","Boris Diaw",4300,"Phi@SA 08:30PM ET",21.167
"PG","Norris Cole",4300,"Mia@Bkn 07:30PM ET",18.825
"PF","Cody Zeller",4300,"Dal@Cha 07:00PM ET",18.075
"PG","Kirk Hinrich",4200,"Chi@LAC 10:30PM ET",17.750
"PG","Devin Harris",4200,"Dal@Cha 07:00PM ET",21.650
"SG","Marco Belinelli",4200,"Phi@SA 08:30PM ET",14.583
"SF","Danilo Gallinari",4200,"Den@Cle 07:00PM ET",13.417
"SG","Randy Foye",4000,"Den@Cle 07:00PM ET",18.071
"PG","Aaron Brooks",4000,"Chi@LAC 10:30PM ET",19.175
"PF","Josh McRoberts",4000,"Mia@Bkn 07:30PM ET",7.321
"PF","Marcus Morris",4000,"Pho@Bos 07:30PM ET",19.950
"SF","K.J. McDaniels",4000,"Phi@SA 08:30PM ET",17.556
"SF","Matt Barnes",3900,"Chi@LAC 10:30PM ET",12.500
"SF","Evan Turner",3900,"Pho@Bos 07:30PM ET",17.688
"SF","Kyle Singler",3900,"Orl@Det 07:30PM ET",11.800
"SF","Donatas Motiejunas",3900,"Hou@Mem 08:00PM ET",15.750
"SF","Michael Kidd-Gilchrist",3900,"Dal@Cha 07:00PM ET",20.458
"SF","Tony Allen",3800,"Hou@Mem 08:00PM ET",20.325
"SF","P.J. Tucker",3800,"Pho@Bos 07:30PM ET",18.893
"PF","Mirza Teletovic",3800,"Mia@Bkn 07:30PM ET",20.778
"SF","Shawn Marion",3700,"Den@Cle 07:00PM ET",13.656
"PG","Steve Blake",3700,"NO@Por 10:00PM ET",15.450
"PG","Jameer Nelson",3700,"Dal@Cha 07:00PM ET",16.925
"PF","Brandan Wright",3700,"Dal@Cha 07:00PM ET",18.675
"SG","Dion Waiters",3700,"Den@Cle 07:00PM ET",16.500
"PG","Elfrid Payton",3700,"Orl@Det 07:30PM ET",20.250
"SF","Kostas Papanikolaou",3700,"Hou@Mem 08:00PM ET",16.850
"PG","Jarrett Jack",3600,"Mia@Bkn 07:30PM ET",18.000
"SF","Luc Richard Mbah a Moute",3600,"Phi@SA 08:30PM ET",19.188
"C","Mason Plumlee",3600,"Mia@Bkn 07:30PM ET",17.417
"SG","Kentavious Caldwell-Pope",3600,"Orl@Det 07:30PM ET",19.000
"SG","Jason Terry",3500,"Hou@Mem 08:00PM ET",13.850
"SG","Gary Neal",3500,"Dal@Cha 07:00PM ET",20.425
"PG","D.J. Augustin",3500,"Orl@Det 07:30PM ET",17.300
"C","Spencer Hawes",3500,"Chi@LAC 10:30PM ET",16.125
"PG","Isaiah Canaan",3500,"Hou@Mem 08:00PM ET",15.611
"SF","Hollis Thompson",3500,"Phi@SA 08:30PM ET",18.361
"C","Meyers Leonard",3500,"NO@Por 10:00PM ET",7.950
"SF","Bojan Bogdanovic",3500,"Mia@Bkn 07:30PM ET",15.639
"C","Alex Len",3500,"Pho@Bos 07:30PM ET",14.775
"SG","Gary Harris",3500,"Den@Cle 07:00PM ET",14.625
